transaction_id,customer_id,transaction_date,product_id,product_name,quantity,price,tax
1001,501.0,2023-07-11,101,Product A,1.0,76.27,8.23
1002,502.0,2023-07-12,102,Product B,3.0,119.16,17.06
1003,503.0,2023-07-13,103,Product C,1.0,287.25,26.36
1004,504.0,2023-07-13,104,Product D,2.0,115.46,25.39
1005,505.0,2023-07-12,100,Product E,4.0,255.05,16.03
1006,506.0,2023-07-20,101,Product A,,77.61,24.56
1007,,2023-07-18,102,Product B,5.0,78.28,18.24
1008,508.0,18-07-2023,103,Product C,1.0,254.17,14.87
1009,509.0,2023-07-16,104,Product D,5.0,Two Hundred,10.69
T1010,500.0,2023-07-15,100,Product E,4.0,200.35,17.34
1011,501.0,2023-07-16,101,Product A,3.0,112.25,Fifteen
1012,502.0,2023-07-20,102,Product B,,206.0,28.52
1013,503.0,2023-07-14,103,Product C,1.0,86.54,28.58
1014,,2023-07-17,104,Product D,5.0,209.43,19.52
1015,505.0,2023-07-16,P100,Product E,4.0,52.97,7.61
1016,506.0,11-07-2023,101,Product A,1.0,137.05,16.48
1017,507.0,2023-07-16,102,Product B,2.0,132.87,5.55
1018,508.0,2023-07-17,103,Product C,,Two Hundred,7.7
1019,509.0,2023-07-14,104,Product D,1.0,137.82,14.17
T1020,500.0,2023-07-11,100,Product E,2.0,144.66,23.74
1021,,2023-07-16,101,Product A,4.0,188.62,16.11
1022,502.0,2023-07-11,102,Product B,1.0,103.71,Fifteen
1023,503.0,2023-07-15,103,Product C,1.0,179.95,28.53
1024,504.0,14-07-2023,104,Product D,,241.04,23.45
1025,505.0,2023-07-10,100,Product E,5.0,261.65,22.97
1026,506.0,2023-07-11,101,Product A,4.0,104.98,21.21
1027,507.0,2023-07-17,102,Product B,4.0,Two Hundred,6.05
1028,,2023-07-10,103,Product C,4.0,194.77,28.42
1029,509.0,2023-07-13,104,Product D,3.0,94.46,5.43
T1030,500.0,2023-07-15,P100,Product E,,115.19,23.79
1031,501.0,2023-07-11,101,Product A,5.0,178.55,26.64
1032,502.0,16-07-2023,102,Product B,2.0,87.23,11.85
1033,503.0,2023-07-19,103,Product C,1.0,199.79,Fifteen
1034,504.0,2023-07-17,104,Product D,1.0,133.87,16.29
1035,,2023-07-11,100,Product E,5.0,145.45,10.18
1036,506.0,2023-07-16,101,Product A,,Two Hundred,9.84
1037,507.0,2023-07-16,102,Product B,4.0,247.01,26.91
1038,508.0,2023-07-18,103,Product C,2.0,130.85,28.55
1039,509.0,2023-07-10,104,Product D,2.0,252.51,14.6
T1040,500.0,19-07-2023,100,Product E,1.0,268.73,23.48
1041,501.0,2023-07-17,101,Product A,4.0,168.56,9.22
1042,,2023-07-12,102,Product B,,235.26,27.72
1043,503.0,2023-07-11,103,Product C,3.0,230.73,27.24
1044,504.0,2023-07-16,104,Product D,2.0,254.38,Fifteen
1045,505.0,2023-07-17,P100,Product E,3.0,Two Hundred,16.71
1046,506.0,2023-07-10,101,Product A,3.0,182.98,29.2
1047,507.0,2023-07-18,102,Product B,4.0,288.77,19.39
1048,508.0,10-07-2023,103,Product C,,54.89,16.08
1049,,2023-07-12,104,Product D,2.0,161.99,17.87
T1050,500.0,2023-07-17,100,Product E,1.0,268.59,16.25
1051,501.0,2023-07-13,101,Product A,5.0,149.13,13.43
1052,502.0,2023-07-13,102,Product B,5.0,125.08,22.19
1053,503.0,2023-07-16,103,Product C,2.0,265.51,19.55
1054,504.0,2023-07-13,104,Product D,,Two Hundred,24.92
1055,505.0,2023-07-10,100,Product E,5.0,220.81,Fifteen
1056,,13-07-2023,101,Product A,2.0,174.03,28.8
1057,507.0,2023-07-13,102,Product B,5.0,289.04,21.35
1058,508.0,2023-07-19,103,Product C,3.0,275.11,23.46
1059,509.0,2023-07-14,104,Product D,3.0,104.49,25.35
T1060,500.0,2023-07-16,P100,Product E,,235.69,7.43
1061,501.0,2023-07-17,101,Product A,5.0,239.46,23.0
1062,502.0,2023-07-19,102,Product B,3.0,135.35,19.79
1063,,2023-07-14,103,Product C,3.0,Two Hundred,18.63
1064,504.0,11-07-2023,104,Product D,3.0,177.06,29.8
1065,505.0,2023-07-11,100,Product E,4.0,250.62,26.48
1066,506.0,2023-07-11,101,Product A,,224.76,Fifteen
1067,507.0,2023-07-14,102,Product B,1.0,171.61,8.36
1068,508.0,2023-07-20,103,Product C,1.0,148.45,7.33
1069,509.0,2023-07-18,104,Product D,4.0,240.51,13.41
T1070,,2023-07-16,100,Product E,5.0,200.8,7.34
1071,501.0,2023-07-14,101,Product A,4.0,195.91,6.81
1072,502.0,20-07-2023,102,Product B,,Two Hundred,5.51
1073,503.0,2023-07-18,103,Product C,4.0,57.47,26.21
1074,504.0,2023-07-14,104,Product D,4.0,183.53,8.11
1075,505.0,2023-07-14,P100,Product E,3.0,123.32,14.51
1076,506.0,2023-07-14,101,Product A,1.0,140.7,17.29
1077,,2023-07-11,102,Product B,5.0,163.07,Fifteen
1078,508.0,2023-07-10,103,Product C,,127.1,28.23
1079,509.0,2023-07-11,104,Product D,5.0,195.99,20.6
T1080,500.0,20-07-2023,100,Product E,3.0,266.13,26.44
1081,501.0,2023-07-14,101,Product A,1.0,Two Hundred,19.54
1082,502.0,2023-07-13,102,Product B,3.0,133.39,17.92
1083,503.0,2023-07-17,103,Product C,3.0,127.25,14.76
1084,,2023-07-17,104,Product D,,132.87,8.15
1085,505.0,2023-07-17,100,Product E,2.0,193.2,24.57
1086,506.0,2023-07-18,101,Product A,4.0,277.97,22.69
1087,507.0,2023-07-18,102,Product B,2.0,281.83,27.81
1088,508.0,18-07-2023,103,Product C,3.0,147.8,Fifteen
1089,509.0,2023-07-20,104,Product D,1.0,109.83,6.96
T1090,500.0,2023-07-14,P100,Product E,,Two Hundred,24.52
1091,,2023-07-11,101,Product A,5.0,79.6,21.87
1092,502.0,2023-07-16,102,Product B,2.0,297.51,19.47
1093,503.0,2023-07-17,103,Product C,4.0,225.96,5.7
1094,504.0,2023-07-13,104,Product D,2.0,290.43,17.88
1095,505.0,2023-07-18,100,Product E,1.0,218.52,23.75
1096,506.0,15-07-2023,101,Product A,,243.74,19.03
1097,507.0,2023-07-15,102,Product B,5.0,230.25,29.48
1098,,2023-07-14,103,Product C,1.0,240.41,8.74
1099,509.0,2023-07-12,104,Product D,2.0,Two Hundred,Fifteen
T1100,500.0,2023-07-17,100,Product E,4.0,257.38,13.27
